Water Year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Annual Total,Units
"2014","443","205","101","78","59","56","358","1320","2020","345","350","406","5741","ACFT"
"2015","387","168","83","69","60","150","344","710","2740","1990","318","156","7175","ACFT"
"2016","81","81","64","54","48","52","157","1230","5860","1100","242","115","9084","ACFT"
"2017","71","60","63","66","52","101","323","575","3010","1840","439","113","6713","ACFT"
"2018","190","53","49","59","49","53","129","757","532","318","95","37","2321","ACFT"
"2019","75","94","72","55","46","54","183","440","2760","3230","1110","204","8323","ACFT"
"2020","46","37","38","34","32","35","66","908","1110","1090","209","106","3711","ACFT"
"2021","41","40","33","31","26","32","96","618","721","337","577","61","2613","ACFT"
"2022","66","68","95","73","55","91","456","919","1340","301","285","88","3837","ACFT"
"2023","158","93","90","75","58","54","122","961","868","313","367","95","3254","ACFT"
